,0,1
0,,
1,Dates,22 March – 26 May 2024
2,Administrator(s),Board of Control for Cricket in India (BCCI)
3,Cricket format,Twenty20
4,Tournament format(s),Group stage and Playoffs
5,Host(s),India
6,Champions,Kolkata Knight Riders (3rd title)
7,Runners-up,Sunrisers Hyderabad
8,Participants,10
9,Matches,74
10,Most valuable player,Sunil Narine (Kolkata Knight Riders)
11,Most runs,Virat Kohli (Royal Challengers Bengaluru) (741)
12,Most wickets,Harshal Patel (Punjab Kings) (24)
13,Official website,iplt20.com
14,← 20232025 →,← 20232025 →
